Reviewer1;key;title;authors;year;venue;type;url;ee;pages;volume;number;publisher;isbn;doi
N;journals/nar/GandhimathiGHMS16;PASS2 database for the structure-based sequence alignment of distantly related SCOP domain superfamilies: update to version 5 and added features.;Arumugam Gandhimathi, Pritha Ghosh, Sridhar Hariharaputran, Oommen K. Mathew, Ramanathan Sowdhamini;2016;Nucleic Acids Res.;Journal Articles;https://dblp.org/rec/journals/nar/GandhimathiGHMS16;https://doi.org/10.1093/nar/gkv1205;410-414;44;Database-Issue;;;10.1093/NAR/GKV1205
N;journals/nar/GandhimathiNS12;PASS2 version 4: An update to the database of structure-based sequence alignments of structural domain superfamilies.;Arumugam Gandhimathi, Anu G. Nair, Ramanathan Sowdhamini;2012;Nucleic Acids Res.;Journal Articles;https://dblp.org/rec/journals/nar/GandhimathiNS12;https://doi.org/10.1093/nar/gkr1096;531-534;40;Database-Issue;;;10.1093/NAR/GKR1096
N;journals/nar/GaoLSGWSGSZWWLZ21;LincSNP 3.0: an updated database for linking functional variants to human long non-coding RNAs, circular RNAs and their regulatory elements.;Yue Gao , Xin Li, Shipeng Shang, Shuang Guo , Peng Wang , Dailin Sun, Jing Gan, Jie Sun , Yakun Zhang , Junwei Wang, Xinyue Wang, Xia Li , Yunpeng Zhang, Shangwei Ning;2021;Nucleic Acids Res.;Journal Articles;https://dblp.org/rec/journals/nar/GaoLSGWSGSZWWLZ21;https://doi.org/10.1093/nar/gkaa1037;D1244-D1250;49;Database-Issue;;;10.1093/NAR/GKAA1037
N;journals/nar/GaoLZ13;DoriC 5.0: an updated database of oriC regions in both bacterial and archaeal genomes.;Feng Gao , Hao Luo , Chun-Ting Zhang;2013;Nucleic Acids Res.;Journal Articles;https://dblp.org/rec/journals/nar/GaoLZ13;https://doi.org/10.1093/nar/gks990;90-93;41;Database-Issue;;;10.1093/NAR/GKS990
N;journals/nar/GaoQ20;EnhancerAtlas 2.0: an updated resource with enhancer annotation in 586 tissue/cell types across nine species.;Tianshun Gao, Jiang Qian;2020;Nucleic Acids Res.;Journal Articles;https://dblp.org/rec/journals/nar/GaoQ20;https://doi.org/10.1093/nar/gkz980;D58-D64;48;Database-Issue;;;10.1093/NAR/GKZ980
N;journals/nar/GaoSGLZLSWWZLNZ21;Lnc2Cancer 3.0: an updated resource for experimentally supported lncRNA/circRNA cancer associations and web tools based on RNA-seq and scRNA-seq data.;Yue Gao , Shipeng Shang, Shuang Guo , Xin Li, Hanxiao Zhou, Hongjia Liu, Yue Sun, Junwei Wang, Peng Wang , Hui Zhi, Xia Li , Shangwei Ning, Yunpeng Zhang;2021;Nucleic Acids Res.;Journal Articles;https://dblp.org/rec/journals/nar/GaoSGLZLSWWZLNZ21;https://doi.org/10.1093/nar/gkaa1006;D1251-D1258;49;Database-Issue;;;10.1093/NAR/GKAA1006
N;journals/nar/GaoWWMZZLFSXSWW19;Lnc2Cancer v2.0: updated database of experimentally supported long non-coding RNAs in human cancers.;Yue Gao , Peng Wang , Yanxia Wang, Xueyan Ma, Hui Zhi, Dianshuang Zhou, Xin Li, Ying Fang, Weitao Shen, Yingqi Xu, Shipeng Shang, Lihua Wang , Li Wang , Shangwei Ning, Xia Li;2019;Nucleic Acids Res.;Journal Articles;https://dblp.org/rec/journals/nar/GaoWWMZZLFSXSWW19;https://doi.org/10.1093/nar/gky1096;D1028-D1033;47;Database-Issue;;;10.1093/NAR/GKY1096
N;journals/nar/GarciaGGSADACSE22;PRGdb 4.0: an updated database dedicated to genes involved in plant disease resistance process.;"Joan Calle García, Anna Guadagno, Andreu Paytuví Gallart, Alfonso Saera-Vila, Ciro Gianmaria Amoroso, Daniela D&apos;Esposito, Giuseppe Andolfo, Riccardo Aiese Cigliano, Walter Sanseverino, Maria Raffaella Ercolano";2022;Nucleic Acids Res.;Journal Articles;https://dblp.org/rec/journals/nar/GarciaGGSADACSE22;https://doi.org/10.1093/nar/gkab1087;1483-1490;50;D1;;;10.1093/NAR/GKAB1087
N;journals/nar/GarciaLACGGGHJXPSVVB14;Recent updates and developments to plant genome size databases.;Sònia Garcia, Ilia J. Leitch, Alba Anadon-Rosell, Miguel Á. Canela, Francisco Gálvez, Teresa Garnatje, Airy Gras, Oriane Hidalgo, Emmeline Johnston, Gemma Mas de Xaxars, Jaume Pellicer, Sonja Siljak-Yakovlev, Joan Vallès, Daniel Vitales, Michael D. Bennett;2014;Nucleic Acids Res.;Journal Articles;https://dblp.org/rec/journals/nar/GarciaLACGGGHJXPSVVB14;https://doi.org/10.1093/nar/gkt1195;1159-1166;42;Database-Issue;;;10.1093/NAR/GKT1195
N;journals/nar/GaudetFBBDSJKC11;dictyBase update 2011: web 2.0 functionality and the initial steps towards a genome portal for the Amoebozoa.;Pascale Gaudet, Petra Fey, Siddhartha Basu, Yulia A. Bushmanova, Robert J. Dodson, Kerry A. Sheppard, Eric M. Just, Warren A. Kibbe, Rex L. Chisholm;2011;Nucleic Acids Res.;Journal Articles;https://dblp.org/rec/journals/nar/GaudetFBBDSJKC11;https://doi.org/10.1093/nar/gkq1103;620-624;39;Database-Issue;;;10.1093/NAR/GKQ1103
N;journals/nar/GaudetMZBCDDGGH17;The neXtProt knowledgebase on human proteins: 2017 update.;Pascale Gaudet, Pierre-André Michel, Monique Zahn-Zabal, Aurore Britan, Isabelle Cusin, Marcin Domagalski, Paula Duek Roggli, Alain Gateau, Anne Gleizes, Valérie Hinard, Valentine Rech de Laval, JinJin Lin, Frédéric Nikitin, Mathieu Schaeffer, Daniel Dinis Teixeira, Lydie Lane, Amos Bairoch;2017;Nucleic Acids Res.;Journal Articles;https://dblp.org/rec/journals/nar/GaudetMZBCDDGGH17;https://doi.org/10.1093/nar/gkw1062;D177-D182;45;Database-Issue;;;10.1093/NAR/GKW1062
N;journals/nar/GeisenBAHO14;NGSmethDB: an updated genome resource for high quality, single-cytosine resolution methylomes.;Stefanie Geisen, Guillermo Barturen, Ángel M. Alganza, Michael Hackenberg, José L. Oliver;2014;Nucleic Acids Res.;Journal Articles;https://dblp.org/rec/journals/nar/GeisenBAHO14;https://doi.org/10.1093/nar/gkt1202;53-59;42;Database-Issue;;;10.1093/NAR/GKT1202
N;journals/nar/GeorgitsiVAGBPPTP11;FINDbase: a worldwide database for genetic variation allele frequencies updated.;Marianthi Georgitsi, Emmanouil Viennas, Dimitris Antoniou, Vassiliki Gkantouna, Sjozef van Baal, Emanuel F. Petricoin III, Konstantinos Poulas, Giannis Tzimas, George P. Patrinos;2011;Nucleic Acids Res.;Journal Articles;https://dblp.org/rec/journals/nar/GeorgitsiVAGBPPTP11;https://doi.org/10.1093/nar/gkq1236;926-932;39;Database-Issue;;;10.1093/NAR/GKQ1236
N;journals/nar/GiardineBVPMJBRMTWHP14;Updates of the HbVar database of human hemoglobin variants and thalassemia mutations.;Belinda Giardine, Joseph Borg, Emmanouil Viennas, Cristiana Pavlidis, Kamran Moradkhani, Philippe Joly, Marina Bartsakoulia, Cathy Riemer, Webb Miller, Giannis Tzimas, Henri Wajcman, Ross C. Hardison, George P. Patrinos;2014;Nucleic Acids Res.;Journal Articles;https://dblp.org/rec/journals/nar/GiardineBVPMJBRMTWHP14;https://doi.org/10.1093/nar/gkt911;1063-1069;42;Database-Issue;;;10.1093/NAR/GKT911
N;journals/nar/GiardineJPWCHP21;Clinically relevant updates of the HbVar database of human hemoglobin variants and thalassemia mutations.;Belinda Giardine, Philippe Joly, Serge Pissard, Henri Wajcman, David H. K. Chui, Ross C. Hardison, George P. Patrinos;2021;Nucleic Acids Res.;Journal Articles;https://dblp.org/rec/journals/nar/GiardineJPWCHP21;https://doi.org/10.1093/nar/gkaa959;D1192-D1196;49;Database-Issue;;;10.1093/NAR/GKAA959
N;journals/nar/Giraldo-CalderonEMMDTHGMCL15;VectorBase: an updated bioinformatics resource for invertebrate vectors and other organisms related with human diseases.;Gloria I. Giraldo-Calderón, Scott J. Emrich, Robert M. MacCallum, Gareth Maslen, Emmanuel Dialynas, Pantelis Topalis, Nicholas Ho, Sandra Gesing, Gregory R. Madey, Frank H. Collins, Daniel Lawson;2015;Nucleic Acids Res.;Journal Articles;https://dblp.org/rec/journals/nar/Giraldo-CalderonEMMDTHGMCL15;https://doi.org/10.1093/nar/gku1117;707-713;43;Database-Issue;;;10.1093/NAR/GKU1117
N;journals/nar/GnadGM11;PHOSIDA 2011: the posttranslational modification database.;Florian Gnad, Jeremy Gunawardena, Matthias Mann;2011;Nucleic Acids Res.;Journal Articles;https://dblp.org/rec/journals/nar/GnadGM11;https://doi.org/10.1093/nar/gkq1159;253-260;39;Database-Issue;;;10.1093/NAR/GKQ1159
N;journals/nar/GohlkeNODP16;CancerResource - updated database of cancer-relevant proteins, mutations and interacting drugs.;Björn-Oliver Gohlke, Janette Nickel, Raik Otto, Mathias Dunkel, Robert Preissner;2016;Nucleic Acids Res.;Journal Articles;https://dblp.org/rec/journals/nar/GohlkeNODP16;https://doi.org/10.1093/nar/gkv1283;932-937;44;Database-Issue;;;10.1093/NAR/GKV1283
N;journals/nar/GolbertSMCSV14;Laminin-database v.2.0: an update on laminins in health and neuromuscular disorders.;Daiane C. F. Golbert, Eliane Santana-van-Vliet, Alex S. Mundstein, Vicente Calfo, Wilson Savino, Ana T. R. de Vasconcelos;2014;Nucleic Acids Res.;Journal Articles;https://dblp.org/rec/journals/nar/GolbertSMCSV14;https://doi.org/10.1093/nar/gkt901;426-429;42;Database-Issue;;;10.1093/NAR/GKT901
N;journals/nar/GoldmanCSCMDHZ15;The UCSC Cancer Genomics Browser: update 2015.;Mary Goldman, Brian Craft, Teresa Swatloski, Melissa S. Cline, Olena Morozova, Mark Diekhans, David Haussler, Jingchun Zhu;2015;Nucleic Acids Res.;Journal Articles;https://dblp.org/rec/journals/nar/GoldmanCSCMDHZ15;https://doi.org/10.1093/nar/gku1073;812-817;43;Database-Issue;;;10.1093/NAR/GKU1073
N;journals/nar/GoldmanCSECDMWSHZ13;The UCSC Cancer Genomics Browser: update 2013.;Mary Goldman, Brian Craft, Teresa Swatloski, Kyle Ellrott, Melissa S. Cline, Mark Diekhans, Singer Ma, Chris Wilks, Joshua M. Stuart, David Haussler, Jingchun Zhu;2013;Nucleic Acids Res.;Journal Articles;https://dblp.org/rec/journals/nar/GoldmanCSECDMWSHZ13;https://doi.org/10.1093/nar/gks1008;949-954;41;Database-Issue;;;10.1093/NAR/GKS1008
N;journals/nar/Gonzalez-Galarza20;Allele frequency net database (AFND) 2020 update: gold-standard data classification, open access genotype data and new query tools.;Faviel F. Gonzalez-Galarza, Antony McCabe, Eduardo José Melo dos Santos, James Jones, Louise Y. C. Takeshita, Nestor D. Ortega-Rivera, Glenda M. Del Cid-Pavon, Kerry Ramsbottom, Gurpreet S. Ghattaoraya, Ana Alfirevic, Derek Middleton, Andrew R. Jones;2020;Nucleic Acids Res.;Journal Articles;https://dblp.org/rec/journals/nar/Gonzalez-Galarza20;https://doi.org/10.1093/nar/gkz1029;D783-D788;48;Database-Issue;;;10.1093/NAR/GKZ1029
N;journals/nar/Gonzalez-GalarzaTSKMSSGAJM15;Allele frequency net 2015 update: new features for HLA epitopes, KIR and disease and HLA adverse drug reaction associations.;Faviel F. Gonzalez-Galarza, Louise Y. C. Takeshita, Eduardo José Melo dos Santos, Felicity Kempson, Maria Helena Thomaz Maia, Andrea Luciana Soares da Silva, André Luiz Teles e Silva, Gurpreet S. Ghattaoraya, Ana Alfirevic, Andrew R. Jones, Derek Middleton;2015;Nucleic Acids Res.;Journal Articles;https://dblp.org/rec/journals/nar/Gonzalez-GalarzaTSKMSSGAJM15;https://doi.org/10.1093/nar/gku1166;784-788;43;Database-Issue;;;10.1093/NAR/GKU1166
N;journals/nar/GonzalezRSRCSF20;The DisGeNET knowledge platform for disease genomics: 2019 update.;Janet Piñero González, Juan Manuel Ramírez-Anguita, Josep Saüch-Pitarch, Francesco Ronzano, Emilio Centeno, Ferran Sanz, Laura I. Furlong;2020;Nucleic Acids Res.;Journal Articles;https://dblp.org/rec/journals/nar/GonzalezRSRCSF20;https://doi.org/10.1093/nar/gkz1021;D845-D855;48;Database-Issue;;;10.1093/NAR/GKZ1021
N;journals/nar/GonzalezZSSRRPN21;The UCSC Genome Browser database: 2021 update.;Jairo Navarro Gonzalez, Ann S. Zweig, Matthew L. Speir, Daniel Schmelter, Kate R. Rosenbloom, Brian J. Raney, Conner C. Powell, Luis R. Nassar, Nathan D. Maulding, Christopher M. Lee, Brian T. Lee, Angie S. Hinrichs, Alastair C. Fyfe, Jason D. Fernandes, Mark Diekhans, Hiram Clawson, Jonathan Casper, Anna Benet-Pagès, Galt P. Barber, David Haussler, Robert M. Kuhn, Maximilian Haeussler, W. James Kent;2021;Nucleic Acids Res.;Journal Articles;https://dblp.org/rec/journals/nar/GonzalezZSSRRPN21;https://doi.org/10.1093/nar/gkaa1070;D1046-D1057;49;Database-Issue;;;10.1093/NAR/GKAA1070
N;journals/nar/GouwMSKZLBCDDDG18;The eukaryotic linear motif resource - 2018 update.;Marc Gouw, Sushama Michael, Hugo Sámano-Sánchez, Manjeet Kumar, András Zeke, Benjamin Lang , Benoit Bely, Lucía B. Chemes, Norman E. Davey, Ziqi Deng, Francesca Diella, Clara-Marie Gürth, Ann-Kathrin Huber, Stefan Kleinsorg, Lara S. Schlegel, Nicolas Palopoli, Kim Van Roey, Brigitte Altenberg, Attila Reményi, Holger Dinkel, Toby J. Gibson;2018;Nucleic Acids Res.;Journal Articles;https://dblp.org/rec/journals/nar/GouwMSKZLBCDDDG18;https://doi.org/10.1093/nar/gkx1077;D428-D434;46;Database-Issue;;;10.1093/NAR/GKX1077
N;journals/nar/GumerovOAUZ20;MiST 3.0: an updated microbial signal transduction database with an emphasis on chemosensory systems.;Vadim M. Gumerov, Davi R. Ortega, Ogun Adebali, Luke E. Ulrich, Igor B. Zhulin;2020;Nucleic Acids Res.;Journal Articles;https://dblp.org/rec/journals/nar/GumerovOAUZ20;https://doi.org/10.1093/nar/gkz988;D459-D464;48;Database-Issue;;;10.1093/NAR/GKZ988
N;journals/nar/Guo018;rSNPBase 3.0: an updated database of SNP-related regulatory elements, element-gene pairs and SNP-based gene regulatory networks.;Liyuan Guo, Jing Wang;2018;Nucleic Acids Res.;Journal Articles;https://dblp.org/rec/journals/nar/Guo018;https://doi.org/10.1093/nar/gkx1101;D1111-D1116;46;Database-Issue;;;10.1093/NAR/GKX1101
N;journals/nar/GuoDQW16;rVarBase: an updated database for regulatory features of human variants.;Liyuan Guo, Yang Du, Susu Qu, Jing Wang;2016;Nucleic Acids Res.;Journal Articles;https://dblp.org/rec/journals/nar/GuoDQW16;https://doi.org/10.1093/nar/gkv1107;888-893;44;Database-Issue;;;10.1093/NAR/GKV1107
N;journals/nar/GuoPZLWNXDX19;iEKPD 2.0: an update with rich annotations for eukaryotic protein kinases, protein phosphatases and proteins containing phosphoprotein-binding domains.;Yaping Guo, Di Peng, Jiaqi Zhou , Shaofeng Lin, Chenwei Wang, Wanshan Ning, Hao-Dong Xu, Wankun Deng, Yu Xue;2019;Nucleic Acids Res.;Journal Articles;https://dblp.org/rec/journals/nar/GuoPZLWNXDX19;https://doi.org/10.1093/nar/gky1063;D344-D350;47;Database-Issue;;;10.1093/NAR/GKY1063
N;journals/nar/GuptaBAWD11;MPromDb update 2010: an integrated resource for annotation and visualization of mammalian gene promoters and ChIP-seq experimental data.;Ravi Gupta, Anirban Bhattacharyya, Francisco J. Agosto-Perez, Priyankara Wikramasinghe, Ramana V. Davuluri;2011;Nucleic Acids Res.;Journal Articles;https://dblp.org/rec/journals/nar/GuptaBAWD11;https://doi.org/10.1093/nar/gkq1171;92-97;39;Database-Issue;;;10.1093/NAR/GKQ1171
N;journals/nar/HaeusslerZTSRRL19;The UCSC Genome Browser database: 2019 update.;Maximilian Haeussler, Ann S. Zweig, Cath Tyner, Matthew L. Speir, Kate R. Rosenbloom, Brian J. Raney, Christopher M. Lee, Brian T. Lee, Angie S. Hinrichs, Jairo Navarro Gonzalez, David Gibson, Mark Diekhans, Hiram Clawson, Jonathan Casper, Galt P. Barber, David Haussler, Robert M. Kuhn, W. James Kent;2019;Nucleic Acids Res.;Journal Articles;https://dblp.org/rec/journals/nar/HaeusslerZTSRRL19;https://doi.org/10.1093/nar/gky1095;D853-D858;47;Database-Issue;;;10.1093/NAR/GKY1095
N;journals/nar/HaftDBBCOLCDGGL18;RefSeq: an update on prokaryotic genome annotation and curation.;"Daniel H. Haft, Michael DiCuccio, Azat Badretdin, Vyacheslav Brover, Vyacheslav Chetvernin, Kathleen O&apos;Neill, Wenjun Li, Farideh Chitsaz, Myra K. Derbyshire, Noreen R. Gonzales, Marc Gwadz, Fu Lu, Gabriele H. Marchler, James S. Song, Narmada Thanki, Roxanne A. Yamashita, Chanjuan Zheng, Françoise Thibaud-Nissen, Lewis Y. Geer, Aron Marchler-Bauer, Kim D. Pruitt";2018;Nucleic Acids Res.;Journal Articles;https://dblp.org/rec/journals/nar/HaftDBBCOLCDGGL18;https://doi.org/10.1093/nar/gkx1068;D851-D860;46;Database-Issue;;;10.1093/NAR/GKX1068
N;journals/nar/HamelinSJR13;TropGeneDB, the multi-tropical crop information system updated and extended.;Chantal Hamelin, Guilhem Sempéré, Vincent Jouffe, Manuel Ruiz;2013;Nucleic Acids Res.;Journal Articles;https://dblp.org/rec/journals/nar/HamelinSJR13;https://doi.org/10.1093/nar/gks1105;1172-1175;41;Database-Issue;;;10.1093/NAR/GKS1105
N;journals/nar/HardingSFSPIGBA18;The IUPHAR/BPS Guide to PHARMACOLOGY in 2018: updates and expansion to encompass the new guide to IMMUNOPHARMACOLOGY.;Simon D. Harding, Joanna L. Sharman, Elena Faccenda, Christopher Southan, Adam J. Pawson, Sam M. Ireland, Alasdair J. G. Gray, Liam Bruce, Stephen P. H. Alexander, Stephen Anderton, Clare Bryant, Anthony P. Davenport, Christian Doerig, Doriano Fabbro, Francesca Levi-Schaffer, Michael Spedding, Jamie A. Davies, NC-IUPHAR;2018;Nucleic Acids Res.;Journal Articles;https://dblp.org/rec/journals/nar/HardingSFSPIGBA18;https://doi.org/10.1093/nar/gkx1121;D1091-D1106;46;Database-Issue;;;10.1093/NAR/GKX1121
N;journals/nar/HeckerAEDMEGBP12;SuperTarget goes quantitative: update on drug-target interactions.;Nikolai Hecker, Jessica Ahmed, Joachim von Eichborn, Mathias Dunkel, Karel Macha, Andreas Eckert, Michael K. Gilson, Philip E. Bourne, Robert Preissner;2012;Nucleic Acids Res.;Journal Articles;https://dblp.org/rec/journals/nar/HeckerAEDMEGBP12;https://doi.org/10.1093/nar/gkr912;1113-1117;40;Database-Issue;;;10.1093/NAR/GKR912
N;journals/nar/HeRSLTHLPZCOSDUKVSJX14;Updates on the web-based VIOLIN vaccine database and analysis system.;Yongqun He, Rebecca Racz, Samantha Sayers, Yu Lin, Thomas E. Todd, Junguk Hur, Xinna Li, Mukti Patel, Boyang Zhao, Monica Chung, Joseph Ostrow, Andrew Sylora, Priya Dungarani, Guerlain Ulysse, Kanika Kochhar, Boris Vidri, Kelsey Strait, George W. Jourdian, Zuoshuang Xiang;2014;Nucleic Acids Res.;Journal Articles;https://dblp.org/rec/journals/nar/HeRSLTHLPZCOSDUKVSJX14;https://doi.org/10.1093/nar/gkt1133;1124-1132;42;Database-Issue;;;10.1093/NAR/GKT1133
N;journals/nar/HerzigWNCKBNGK11;ArachnoServer 2.0, an updated online resource for spider toxin sequences and structures.;Volker Herzig, David L. A. Wood, Felicity Newell, Pierre-Alain Chaumeil, Quentin Kaas, Greta J. Binford, Graham M. Nicholson, Dominique Gorse, Glenn F. King;2011;Nucleic Acids Res.;Journal Articles;https://dblp.org/rec/journals/nar/HerzigWNCKBNGK11;https://doi.org/10.1093/nar/gkq1058;653-657;39;Database-Issue;;;10.1093/NAR/GKQ1058
N;journals/nar/HeZJYLSYHZLLWLZX12;dbDEPC 2.0: updated database of differentially expressed proteins in human cancers.;Ying He, Menghuan Zhang, Yuanhu Ju, Zhong-Hao Yu, Daqing Lv, Han Sun, Weilan Yuan, Fei He, Jianshe Zhang, Hong Li , Jing Li, Rui Wang-Sattler, Yixue Li, Guoqing Zhang , Lu Xie;2012;Nucleic Acids Res.;Journal Articles;https://dblp.org/rec/journals/nar/HeZJYLSYHZLLWLZX12;https://doi.org/10.1093/nar/gkr936;964-971;40;Database-Issue;;;10.1093/NAR/GKR936
N;journals/nar/HornbeckKTZSMLS12;PhosphoSitePlus: a comprehensive resource for investigating the structure and function of experimentally determined post-translational modifications in man and mouse.;Peter V. Hornbeck, Jon M. Kornhauser, Sasha Tkachev, Bin Zhang, Elzbieta Skrzypek, Beth Murray, Vaughan Latham, Michael Sullivan;2012;Nucleic Acids Res.;Journal Articles;https://dblp.org/rec/journals/nar/HornbeckKTZSMLS12;https://doi.org/10.1093/nar/gkr1122;261-270;40;Database-Issue;;;10.1093/NAR/GKR1122
N;journals/nar/HoweRBFTEFKMMMP21;The Zebrafish Information Network: major gene page and home page updates.;Douglas G. Howe, Sridhar Ramachandran, Yvonne M. Bradford, David Fashena, Sabrina Toro, Anne E. Eagle, Ken Frazer, Patrick Kalita, Prita Mani, Ryan Martin, Sierra Taylor Moxon, Holly Paddock, Christian Pich , Leyla Ruzicka, Kevin Schaper, Xiang Shao, Amy Singer, Ceri E. Van Slyke, Monte Westerfield;2021;Nucleic Acids Res.;Journal Articles;https://dblp.org/rec/journals/nar/HoweRBFTEFKMMMP21;https://doi.org/10.1093/nar/gkaa1010;D1058-D1064;49;Database-Issue;;;10.1093/NAR/GKAA1010
N;journals/nar/HsuTSLKCCHLHJLCWLLLH14;miRTarBase update 2014: an information resource for experimentally validated miRNA-target interactions.;Sheng-Da Hsu, Yu-Ting Tseng, Sirjana Shrestha, Yu-Ling Lin, Anas Khaleel, Chih-Hung Chou, Chao-Fang Chu, Hsi-Yuan Huang, Ching-Min Lin, Shu-Yi Ho, Ting-Yan Jian, Feng-Mao Lin, Tzu-Hao Chang, Shun-Long Weng, Kuang-Wen Liao, I-En Liao, Chun-Chi Liu, Hsien-Da Huang;2014;Nucleic Acids Res.;Journal Articles;https://dblp.org/rec/journals/nar/HsuTSLKCCHLHJLCWLLLH14;https://doi.org/10.1093/nar/gkt1266;78-85;42;Database-Issue;;;10.1093/NAR/GKT1266
N;journals/nar/HuangARRLCWCVW18;iPTMnet: an integrated resource for protein post-translational modification network discovery.;Hongzhan Huang, Cecilia N. Arighi, Karen E. Ross, Jia Ren, Gang Li , Sheng-Chih Chen, Qinghua Wang , Julie Cowart, K. Vijay-Shanker, Cathy H. Wu;2018;Nucleic Acids Res.;Journal Articles;https://dblp.org/rec/journals/nar/HuangARRLCWCVW18;https://doi.org/10.1093/nar/gkx1104;D542-D550;46;Database-Issue;;;10.1093/NAR/GKX1104
N;journals/nar/HuangLKMLLCH19;dbPTM in 2019: exploring disease association and cross-talk of post-translational modifications.;Kai-Yao Huang, Tzong-Yi Lee, Hui-Ju Kao, Chen-Tse Ma, Chao-Chun Lee, Tsai-Hsuan Lin, Wen-Chi Chang, Hsien-Da Huang;2019;Nucleic Acids Res.;Journal Articles;https://dblp.org/rec/journals/nar/HuangLKMLLCH19;https://doi.org/10.1093/nar/gky1074;D298-D308;47;Database-Issue;;;10.1093/NAR/GKY1074
N;journals/nar/HuangLLHSHTCJYX20;miRTarBase 2020: updates to the experimentally validated microRNA?target interaction database.;Hsi-Yuan Huang, Yang-Chi-Dung Lin, Jing Li, Kai-Yao Huang, Sirjana Shrestha, Hsiao-Chin Hong, Yun Tang, Yigang Chen , Chen-Nan Jin, Yuan Yu, Jia-Tong Xu, Yue-Ming Li, Xiao-Xuan Cai, Zhen-Yu Zhou, Xiao-Hang Chen, Yuan-Yuan Pei, Liang Hu, Jin-Jiang Su, Shi-Dong Cui, Fei Wang, Yue-Yang Xie, Si-Yuan Ding, Meng-Fan Luo, Chih-Hung Chou, Nai-Wen Chang , Kai-Wen Chen, Yu-Hsiang Cheng, Xin-Hong Wan, Wen-Lian Hsu, Tzong-Yi Lee, Feng-Xiang Wei, Hsien-Da Huang;2020;Nucleic Acids Res.;Journal Articles;https://dblp.org/rec/journals/nar/HuangLLHSHTCJYX20;https://doi.org/10.1093/nar/gkz896;D148-D154;48;Database-Issue;;;10.1093/NAR/GKZ896
N;journals/nar/HuangMSLLLWLGLWCZ14;ASD v2.0: updated content and novel features focusing on allosteric regulation.;Zhimin Huang, Linkai Mou, Qiancheng Shen, Shaoyong Lu, Chuangang Li, Xinyi Liu , Guanqiao Wang, Shuai Li, Lv Geng, Yaqin Liu, Jiawei Wu, Guoqiang Chen, Jian Zhang;2014;Nucleic Acids Res.;Journal Articles;https://dblp.org/rec/journals/nar/HuangMSLLLWLGLWCZ14;https://doi.org/10.1093/nar/gkt1247;510-516;42;Database-Issue;;;10.1093/NAR/GKT1247
N;journals/nar/HuangSKHJCHL16;dbPTM 2016: 10-year anniversary of a resource for post-translational modification of proteins.;Kai-Yao Huang, Min-Gang Su, Hui-Ju Kao, Yun-Chung Hsieh, Jhih-Hua Jhong, Kuang-Hao Cheng, Hsien-Da Huang, Tzong-Yi Lee;2016;Nucleic Acids Res.;Journal Articles;https://dblp.org/rec/journals/nar/HuangSKHJCHL16;https://doi.org/10.1093/nar/gkv1240;435-446;44;Database-Issue;;;10.1093/NAR/GKV1240
N;journals/nar/HuCRLGCZPM21;FlyRNAi.org - the database of the Drosophila RNAi screening center and transgenic RNAi project: 2021 update.;Yanhui Hu, Aram Comjean, Jonathan Rodiger, Yifang Liu, Yue Gao, Verena Chung, Jonathan Zirin, Norbert Perrimon, Stephanie E. Mohr;2021;Nucleic Acids Res.;Journal Articles;https://dblp.org/rec/journals/nar/HuCRLGCZPM21;https://doi.org/10.1093/nar/gkaa936;D908-D915;49;Database-Issue;;;10.1093/NAR/GKAA936
N;journals/nar/HuCRVFZPPM17;FlyRNAi.org - the database of the Drosophila RNAi screening center and transgenic RNAi project: 2017 update.;Yanhui Hu, Aram Comjean, Charles Roesel, Arunachalam Vinayagam, Ian Flockhart, Jonathan Zirin, Lizabeth Perkins, Norbert Perrimon, Stephanie E. Mohr;2017;Nucleic Acids Res.;Journal Articles;https://dblp.org/rec/journals/nar/HuCRVFZPPM17;https://doi.org/10.1093/nar/gkw977;D672-D678;45;Database-Issue;;;10.1093/NAR/GKW977
N;journals/nar/Huerta-CepasCPMG14;PhylomeDB v4: zooming into the plurality of evolutionary histories of a genome.;Jaime Huerta-Cepas, Salvador Capella-Gutiérrez, Leszek P. Pryszcz, Marina Marcet-Houben, Toni Gabaldón;2014;Nucleic Acids Res.;Journal Articles;https://dblp.org/rec/journals/nar/Huerta-CepasCPMG14;https://doi.org/10.1093/nar/gkt1177;897-902;42;Database-Issue;;;10.1093/NAR/GKT1177
N;journals/nar/HuLXZLBCJYOLWZ23;CellMarker 2.0: an updated database of manually curated cell markers in human/mouse and web tools based on scRNA-seq data.;Congxue Hu, Tengyue Li, Yingqi Xu, Xinxin Zhang, Feng Li, Jing Bai , Jing Chen, Wenqi Jiang, Kaiyue Yang, Qi Ou, Xia Li , Peng Wang , Yunpeng Zhang;2023;Nucleic Acids Res.;Journal Articles;https://dblp.org/rec/journals/nar/HuLXZLBCJYOLWZ23;https://doi.org/10.1093/nar/gkac947;870-876;51;D1;;;10.1093/NAR/GKAC947
N;journals/nar/HumeBGB15;UniPROBE, update 2015: new tools and content for the online database of protein-binding microarray data on protein-DNA interactions.;Maxwell A. Hume, Luis A. Barrera, Stephen S. Gisselbrecht, Martha L. Bulyk;2015;Nucleic Acids Res.;Journal Articles;https://dblp.org/rec/journals/nar/HumeBGB15;https://doi.org/10.1093/nar/gku1045;117-122;43;Database-Issue;;;10.1093/NAR/GKU1045
